"","Arr","Dep","Airline","Curr_Time","FlightNo","FareVar","FareSD","FareMean","CorFareDifnDays","covFareDifnDays"
"55","BLR","BOM","6E","E",473,270404.879120879,520.004691441221,4164.42857142857,-0.280241913940892,-440.637362637363
"56","BLR","BOM","6E","E",463,794174.494456098,891.164684250952,4893.12676056338,0.167937201541168,295.830786135251
"57","BLR","BOM","6E","M",715,1841722.4,1357.10073318085,4592,-0.118652586428932,-220
"58","BLR","BOM","6E","E",799,937816.616091954,968.409322596573,5055.06666666667,0.295904960400034,292.264367816092
"59","BLR","BOM","G8","M",317,6165224.36659559,2482.98698478176,5825.94047619048,-0.290762519253953,-1532.24506041222
"60","BLR","BOM","G8","E",396,292422.091431557,540.760660025817,4302.52272727273,-0.124337585942809,-151.168756530826
"61","BLR","BOM","G8","E",325,588251.558247355,766.975591689433,4802.33064516129,0.182597457192361,282.197923468721
"62","BLR","BOM","SG","M",435,5322239.87206823,2306.99802168711,5829.35714285714,-0.495367409222571,-2425.43710021322
"63","BLR","BOM","SG","E",415,727417.821606254,852.887930273523,4436.79761904762,-0.304275264532585,-550.774697938877
"64","CCU","BOM","6E","M",321,1036943.66367002,1018.30430798952,8713.51612903226,-0.138316423897143,-295.695928080381
"65","CCU","BOM","6E","E",325,733421.48323603,856.400305485717,8240.94545454545,-0.30515841908477,-604.445371142619
"66","CCU","BOM","6E","M",319,908454.181545948,953.128628017199,8784.15328467153,-0.45115873740357,-915.909761771076
"67","CCU","BOM","6E","E",595,142404.128002716,377.364714835285,7231.05194805195,-0.15597772559438,-106.876835582718
"68","CCU","BOM","6E","E",395,528150.61971831,726.739719375727,8604.83333333333,-0.119572822249124,-196.201877934272
"69","CCU","BOM","G8","M",101,2576520.89462676,1605.15447687341,12355.7966101695,-0.707002726536427,-2264.61680490444
"70","CCU","BOM","G8","M",532,1285175.04686869,1133.65561211008,14291.06,-0.654508282046051,-954.993939393939
"71","CCU","BOM","SG","E",487,833391.51189677,912.902794330684,6728.26829268293,-0.481357546226556,-919.079585291266
"72","DEL","BOM","6E","M",205,943449.191441441,971.313127390669,5875.125,-0.260594525859915,-575.722972972973
"73","DEL","BOM","6E","E",186,788016.457795004,887.702910773083,5822.73148148148,-0.132840363899366,-255.809732988803
"74","DEL","BOM","6E","M",964,379730.448880823,616.222726683155,5992.27586206897,-0.130891659562457,-134.43557168784
"75","DEL","BOM","6E","M",184,976235.70288656,988.046407253505,6183.56756756757,-0.327952454284681,-589.899981614267
"76","DEL","BOM","6E","E",192,164682.564516129,405.810996051276,5406.375,0.174060143284703,120.354838709677
"77","DEL","BOM","6E","E",248,189675.484081633,435.51748998362,5154.84,-0.305165225390927,-216.161632653061
"78","DEL","BOM","G8","M",329,270664.262573915,520.254036576282,5573.94252873563,0.0222284329541778,25.3993090160122
"79","DEL","BOM","G8","E",339,444760.313001046,666.903526007357,5484.71052631579,0.055485827369081,83.8112582781457
"80","DEL","BOM","G8","M",319,401553.730812325,633.682673593278,5573.98333333333,-0.317022862565963,-415.341736694678
"81","DEL","BOM","G8","M",327,288268.422764228,536.906344499884,5494.66666666667,-0.559792896077555,-565.869918699187
"82","DEL","BOM","G8","E",341,104971.189516129,323.992576328732,4875.3125,-0.672701944156388,-563.879032258065
"83","DEL","BOM","SG","M",160,962228.289876317,980.932357441795,4717.45945945946,-0.183410052884875,-372.578103527256
"84","DEL","BOM","SG","E",154,519506.056872933,720.767685785741,3453.8904109589,-0.15385421868908,-205.416438356164
"85","DEL","BOM","SG","E",158,540216.689501532,734.994346577939,3885.57894736842,-0.0634790257985673,-107.695349484823
"86","DEL","BOM","SG","M",152,1048798.52307692,1024.10864808228,5023.8,-0.749381017305861,-1343.38461538462
"87","HYD","BOM","6E","M",461,2165373.57521761,1471.52083750711,4080.24285714286,-0.401489047804527,-1254.80527393753
"88","HYD","BOM","6E","E",628,165746.407807598,407.119648024507,2686.94736842105,0.0192364010716086,17.1422098292088
"89","HYD","BOM","6E","E",254,155273.00063118,394.046952318097,2723.77551020408,-0.0424426447469605,-26.7797180727961
"90","HYD","BOM","6E","E",234,45038.2161422709,212.222091550976,2436.74418604651,0.591262827513458,306.573734610123
"91","HYD","BOM","SG","M",421,3789728.83976546,1946.72258931915,2624.41071428571,-0.352790097423336,-1457.59147121535
"92","MAA","BOM","6E","M",377,660850.248414657,812.926963764062,4700.66956521739,-0.103285368298755,-185.62251756218
"93","MAA","BOM","6E","E",459,1135366.92653673,1065.53598087382,4427.8275862069,-0.147583359760662,-326.253673163418
"94","MAA","BOM","6E","M",431,562395.023899371,749.93001266743,4417.28301886792,0.116665142386378,159.254627133872
"95","MAA","BOM","6E","E",549,762234.430188679,873.060381754137,4658.6,0.535918150014634,1029.49937106918
"96","MAA","BOM","G8","M",305,434062.032907159,658.833843170764,4793.19760479042,0.179315927174019,251.482512452572
"97","MAA","BOM","G8","E",303,691976.584506041,831.85129951575,4759.69047619048,0.132065420283695,233.157924662402
"98","MAA","BOM","SG","M",611,1470265.86265103,1212.54520025071,4535.50595238095,0.537143389711485,1382.3039090263
"99","BLR","CCU","6E","M",379,652665.090156794,807.876902848939,7446.9375,-0.214881917413474,-366.577743902439
